instance,part,color,step,role,x,y,z,rotation_z,supporting_instances
O-001,P-8x8,green,1,台座下段,0.0,0.0,0,0,
O-002,P-8x8,green,1,台座下段,64.0,0.0,0,0,
O-003,P-8x8,green,1,台座下段,128.0,0.0,0,0,
O-004,P-8x8,green,1,台座下段,0.0,64.0,0,0,
O-005,P-8x8,green,1,台座下段,64.0,64.0,0,0,
O-006,P-8x8,green,1,台座下段,128.0,64.0,0,0,
O-007,P-4x4,green,2,台座上段,0.0,0.0,3.2,0,O-001
O-008,P-4x8,green,2,台座上段,96.0,0.0,3.2,90,O-001;O-002
O-009,P-4x8,green,2,台座上段,160.0,0.0,3.2,90,O-002;O-003
O-010,P-4x4,green,2,台座上段,160.0,0.0,3.2,0,O-003
O-011,P-4x8,green,2,台座上段,0.0,32.0,3.2,0,O-001;O-004
O-012,P-8x8,green,2,台座上段,32.0,32.0,3.2,0,O-001;O-002;O-004;O-005
O-013,P-8x8,green,2,台座上段,96.0,32.0,3.2,0,O-002;O-003;O-005;O-006
O-014,P-4x8,green,2,台座上段,160.0,32.0,3.2,0,O-003;O-006
O-015,P-4x4,green,2,台座上段,0.0,96.0,3.2,0,O-004
O-016,P-4x8,green,2,台座上段,96.0,96.0,3.2,90,O-004;O-005
O-017,P-4x8,green,2,台座上段,160.0,96.0,3.2,90,O-005;O-006
O-018,P-4x4,green,2,台座上段,160.0,96.0,3.2,0,O-006
O-019,B-2x2,white,3,椅子脚,24.0,32.0,6.4,0,O-011;O-012
O-020,B-2x2,white,3,椅子脚,24.0,80.0,6.4,0,O-011;O-012
O-021,B-2x2,white,3,椅子脚,72.0,32.0,6.4,0,O-012
O-022,B-2x2,white,3,椅子脚,72.0,80.0,6.4,0,O-012
O-023,B-2x2,white,4,椅子脚,24.0,32.0,16.0,0,O-019
O-024,B-2x2,white,4,椅子脚,24.0,80.0,16.0,0,O-020
O-025,B-2x2,white,4,椅子脚,72.0,32.0,16.0,0,O-021
O-026,B-2x2,white,4,椅子脚,72.0,80.0,16.0,0,O-022
O-027,B-2x2,white,5,椅子脚,24.0,32.0,25.6,0,O-023
O-028,B-2x2,white,5,椅子脚,24.0,80.0,25.6,0,O-024
O-029,B-2x2,white,5,椅子脚,72.0,32.0,25.6,0,O-025
O-030,B-2x2,white,5,椅子脚,72.0,80.0,25.6,0,O-026
O-031,B-2x4,white,6,机中空台脚,144.0,32.0,6.4,90,O-013
O-032,B-2x4,white,6,机中空台脚,176.0,32.0,6.4,90,O-013;O-014
O-033,B-2x4,white,6,机中空台脚,144.0,80.0,6.4,90,O-013
O-034,B-2x4,white,6,机中空台脚,176.0,80.0,6.4,90,O-013;O-014
O-035,B-2x4,white,6,机中空台脚,112.0,48.0,6.4,0,O-013
O-036,B-2x4,white,6,机中空台脚,160.0,48.0,6.4,0,O-014
O-037,B-2x2,white,6,机左脚,96.0,32.0,6.4,0,O-013
O-038,B-2x2,white,6,机左脚,96.0,80.0,6.4,0,O-013
O-039,B-2x4,white,7,机中空台脚,160.0,32.0,16.0,0,O-032;O-036
O-040,B-2x4,white,7,机中空台脚,160.0,64.0,16.0,0,O-034;O-036
O-041,B-2x4,white,7,机中空台脚,112.0,32.0,16.0,0,O-031;O-035
O-042,B-2x4,white,7,机中空台脚,112.0,64.0,16.0,0,O-033;O-035
O-043,B-2x4,white,7,机中空台脚,160.0,32.0,16.0,90,O-031;O-032
O-044,B-2x4,white,7,机中空台脚,160.0,80.0,16.0,90,O-033;O-034
O-045,B-2x2,white,7,机左脚,96.0,32.0,16.0,0,O-037
O-046,B-2x2,white,7,机左脚,96.0,80.0,16.0,0,O-038
O-047,B-2x4,white,8,机中空台脚,144.0,32.0,25.6,90,O-041;O-043
O-048,B-2x4,white,8,机中空台脚,176.0,32.0,25.6,90,O-039;O-043
O-049,B-2x4,white,8,机中空台脚,144.0,80.0,25.6,90,O-042;O-044
O-050,B-2x4,white,8,机中空台脚,176.0,80.0,25.6,90,O-040;O-044
O-051,B-2x4,white,8,机中空台脚,112.0,48.0,25.6,0,O-041;O-042
O-052,B-2x4,white,8,机中空台脚,160.0,48.0,25.6,0,O-039;O-040
O-053,B-2x2,white,8,机左脚,96.0,32.0,25.6,0,O-045
O-054,B-2x2,white,8,机左脚,96.0,80.0,25.6,0,O-046
O-055,B-2x4,white,9,机中空台脚,160.0,32.0,35.2,0,O-048;O-052
O-056,B-2x4,white,9,机中空台脚,160.0,64.0,35.2,0,O-050;O-052
O-057,B-2x4,white,9,机中空台脚,112.0,32.0,35.2,0,O-047;O-051
O-058,B-2x4,white,9,机中空台脚,112.0,64.0,35.2,0,O-049;O-051
O-059,B-2x4,white,9,机中空台脚,160.0,32.0,35.2,90,O-047;O-048
