file,slot,part,color,example_instance,all_interchangeable_candidates
plates/O-green-01-NOT_SLICED.3mf,1,P-8x8,green,O-001,O-001;O-002;O-003;O-004;O-005;O-006;O-012;O-013
plates/O-green-01-NOT_SLICED.3mf,2,P-8x8,green,O-002,O-001;O-002;O-003;O-004;O-005;O-006;O-012;O-013
plates/O-green-01-NOT_SLICED.3mf,3,P-8x8,green,O-003,O-001;O-002;O-003;O-004;O-005;O-006;O-012;O-013
plates/O-green-01-NOT_SLICED.3mf,4,P-8x8,green,O-004,O-001;O-002;O-003;O-004;O-005;O-006;O-012;O-013
plates/O-green-01-NOT_SLICED.3mf,5,P-8x8,green,O-005,O-001;O-002;O-003;O-004;O-005;O-006;O-012;O-013
plates/O-green-01-NOT_SLICED.3mf,6,P-8x8,green,O-006,O-001;O-002;O-003;O-004;O-005;O-006;O-012;O-013
plates/O-green-01-NOT_SLICED.3mf,7,P-8x8,green,O-012,O-001;O-002;O-003;O-004;O-005;O-006;O-012;O-013
plates/O-green-01-NOT_SLICED.3mf,8,P-8x8,green,O-013,O-001;O-002;O-003;O-004;O-005;O-006;O-012;O-013
plates/O-green-01-NOT_SLICED.3mf,9,P-4x8,green,O-008,O-008;O-009;O-011;O-014;O-016;O-017
plates/O-green-01-NOT_SLICED.3mf,10,P-4x8,green,O-009,O-008;O-009;O-011;O-014;O-016;O-017
plates/O-green-02-NOT_SLICED.3mf,1,P-4x8,green,O-011,O-008;O-009;O-011;O-014;O-016;O-017
plates/O-green-02-NOT_SLICED.3mf,2,P-4x8,green,O-014,O-008;O-009;O-011;O-014;O-016;O-017
plates/O-green-02-NOT_SLICED.3mf,3,P-4x8,green,O-016,O-008;O-009;O-011;O-014;O-016;O-017
plates/O-green-02-NOT_SLICED.3mf,4,P-4x8,green,O-017,O-008;O-009;O-011;O-014;O-016;O-017
plates/O-green-02-NOT_SLICED.3mf,5,P-4x4,green,O-007,O-007;O-010;O-015;O-018
plates/O-green-02-NOT_SLICED.3mf,6,P-4x4,green,O-010,O-007;O-010;O-015;O-018
plates/O-green-02-NOT_SLICED.3mf,7,P-4x4,green,O-015,O-007;O-010;O-015;O-018
plates/O-green-02-NOT_SLICED.3mf,8,P-4x4,green,O-018,O-007;O-010;O-015;O-018
plates/O-white-01-NOT_SLICED.3mf,1,P-4x10,white,O-092,O-092;O-093;O-094
plates/O-white-01-NOT_SLICED.3mf,2,P-4x10,white,O-093,O-092;O-093;O-094
plates/O-white-01-NOT_SLICED.3mf,3,P-4x10,white,O-094,O-092;O-093;O-094
plates/O-white-01-NOT_SLICED.3mf,4,P-4x8,white,O-071,O-071;O-072;O-073;O-074
plates/O-white-01-NOT_SLICED.3mf,5,P-4x8,white,O-072,O-071;O-072;O-073;O-074
plates/O-white-01-NOT_SLICED.3mf,6,P-4x8,white,O-073,O-071;O-072;O-073;O-074
plates/O-white-01-NOT_SLICED.3mf,7,P-4x8,white,O-074,O-071;O-072;O-073;O-074
plates/O-white-01-NOT_SLICED.3mf,8,T-2x8,white,O-085,O-085;O-136
plates/O-white-01-NOT_SLICED.3mf,9,T-2x8,white,O-136,O-085;O-136
plates/O-white-01-NOT_SLICED.3mf,10,P-4x6,white,O-095,O-095;O-096;O-098;O-099
plates/O-white-01-NOT_SLICED.3mf,11,P-4x6,white,O-096,O-095;O-096;O-098;O-099
plates/O-white-01-NOT_SLICED.3mf,12,P-4x6,white,O-098,O-095;O-096;O-098;O-099
plates/O-white-01-NOT_SLICED.3mf,13,P-4x6,white,O-099,O-095;O-096;O-098;O-099
plates/O-white-01-NOT_SLICED.3mf,14,P-2x6,white,O-097,O-097;O-100
plates/O-white-01-NOT_SLICED.3mf,15,P-2x6,white,O-100,O-097;O-100
plates/O-white-01-NOT_SLICED.3mf,16,KEY-2x6,white,O-137,O-137
